cornercut	rcorner2	Frequency	S(0,0)	S(0,1)	S(0,2)	S(0,3)	S(1,0)	S(1,1)	S(1,2)	S(1,3)	S(2,0)	S(2,1)	S(2,2)	S(2,3)	S(3,0)	S(3,1)	S(3,2)	S(3,3)	
12.0	4.0	9424000000.0	0.157987077	0.000184667954	0.987441149	0.000164215154	0.000184667954	0.99999997	0.00016064809	2.76265692e-07	0.987441149	0.00016064809	0.157987075	0.000189234108	0.000164215154	2.76265692e-07	0.000189234108	0.999999969	
12.0	4.0	9674000000.0	0.147880099	0.000223054908	0.989005251	0.000202091828	0.000223054908	0.999999955	0.00020025254	4.56217603e-07	0.989005251	0.00020025254	0.147880097	0.00022591514	0.000202091828	4.56217603e-07	0.00022591514	0.999999954	
12.0	4.0	9924000000.0	0.140172859	0.000275158608	0.990126976	0.000256136019	0.000275158608	0.999999929	0.000256085916	7.76217722e-07	0.990126976	0.000256085916	0.140172857	0.000276203327	0.000256136019	7.76217722e-07	0.000276203327	0.999999929	
12.0	4.0	10174000000.0	0.134970995	0.000348409526	0.990849432	0.000336094957	0.000348409526	0.999999882	0.000337565079	1.3654426e-06	0.990849432	0.000337565079	0.134970993	0.00034782573	0.000336094957	1.3654426e-06	0.00034782573	0.999999883	
12.0	4.0	10424000000.0	0.132560326	0.000456135684	0.991174728	0.000459007123	0.000456135684	0.999999789	0.00046154076	2.49401741e-06	0.991174728	0.00046154076	0.132560323	0.000454310791	0.000459007123	2.49401741e-06	0.000454310791	0.999999791	
12.0	4.0	10674000000.0	0.133478434	0.000622909597	0.991051305	0.000655840384	0.000622909597	0.999999589	0.000658962424	4.75550476e-06	0.991051305	0.000658962424	0.133478431	0.000620300082	0.000655840384	4.75550476e-06	0.000620300082	0.999999593	
12.0	4.0	10924000000.0	0.138656273	0.000895595078	0.990339671	0.000985478646	0.000895595078	0.99999911	0.000988820461	9.53201687e-06	0.990339671	0.000988820461	0.138656268	0.000892613654	0.000985478646	9.53201687e-06	0.000892613654	0.999999116	
12.0	4.0	11174000000.0	0.149701321	0.00136774229	0.988729079	0.00156615147	0.00136774229	0.999997833	0.00156946636	2.02724928e-05	0.988729079	0.00156946636	0.149701314	0.00136473732	0.00156615147	2.02724928e-05	0.00136473732	0.999997842	
12.0	4.0	11424000000.0	0.169501272	0.0022383317	0.985523858	0.00265213482	0.0022383317	0.999993969	0.00265518172	4.63458639e-05	0.985523858	0.00265518172	0.169501258	0.00223571126	0.00265213482	4.63458639e-05	0.00223571126	0.999993983	
12.0	4.0	11674000000.0	0.203642717	0.00396953364	0.979025251	0.00484199777	0.00396953364	0.999980381	0.00484431157	0.000116095262	0.979025251	0.00484431157	0.203642691	0.00396803211	0.00484199777	0.000116095262	0.00396803211	0.999980398	
12.0	4.0	11924000000.0	0.264201523	0.00777455072	0.964387083	0.00972962998	0.00777455072	0.999922383	0.00973016202	0.000328400718	0.964387083	0.00973016202	0.264201472	0.00777562936	0.00972962998	0.000328400718	0.00777562936	0.99992238	
12.0	4.0	12174000000.0	0.381495141	0.0174335674	0.923935953	0.0223580656	0.0174335674	0.999597486	0.0223543965	0.00110349907	0.923935953	0.0223543965	0.381495055	0.0174401535	0.0223580656	0.00110349907	0.0174401535	0.999597289	
12.0	4.0	12424000000.0	0.63938603	0.0473145863	0.764898419	0.0622675172	0.0473145863	0.996926932	0.0622530394	0.00475187876	0.764898419	0.0622530394	0.63938606	0.0473332272	0.0622675172	0.00475187876	0.0473332272	0.996925143	
12.2	4.0	9424000000.0	0.149214342	0.000187346072	0.988804842	0.000171574433	0.000187346072	0.999999969	0.000163720952	2.75000591e-07	0.988804842	0.000163720952	0.149214337	0.000197372611	0.000171574433	2.75000591e-07	0.000197372611	0.999999966	
12.2	4.0	9674000000.0	0.138512305	0.000225911652	0.990360665	0.000206657156	0.000225911652	0.999999954	0.000203130734	4.53170032e-07	0.990360665	0.000203130734	0.138512301	0.000231724961	0.000206657156	4.53170032e-07	0.000231724961	0.999999952	
12.2	4.0	9924000000.0	0.130071346	0.000278156833	0.991504565	0.000256659888	0.000278156833	0.999999928	0.000258299319	7.69593669e-07	0.991504565	0.000258299319	0.130071341	0.00027880358	0.000256659888	7.69593669e-07	0.00027880358	0.999999928	
12.2	4.0	10174000000.0	0.123961183	0.000351335357	0.99228695	0.000331487998	0.000351335357	0.999999881	0.000338111801	1.35153728e-06	0.99228695	0.000338111801	0.123961178	0.000346714794	0.000331487998	1.35153728e-06	0.000346714794	0.999999885	
12.2	4.0	10424000000.0	0.120417757	0.000458244396	0.9927231	0.000447918426	0.000458244396	0.99999979	0.000458274477	2.46482943e-06	0.9927231	0.000458274477	0.120417751	0.000449279035	0.000447918426	2.46482943e-06	0.000449279035	0.999999799	
12.2	4.0	10674000000.0	0.119906184	0.000622212478	0.992784829	0.000635454343	0.000622212478	0.999999597	0.000647447974	4.69283933e-06	0.992784829	0.000647447974	0.119906178	0.000610813824	0.000635454343	4.69283933e-06	0.000610813824	0.999999612	
12.2	4.0	10924000000.0	0.123245858	0.000887483501	0.992375317	0.000949008538	0.000887483501	0.999999145	0.000960151159	9.39196412e-06	0.992375317	0.000960151159	0.123245852	0.00087624698	0.000949008538	9.39196412e-06	0.00087624698	0.999999166	
